,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,Average duration of each conversation during night,Low strength of wifi level,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average 0 ratio during night,Average duration of each conversation,Phonecharge duration during afternoon,Light duration during night,Light duration during afternoon,Frequency of wifi,High strength of bluetooth level,Phonecharge duration during evening,Daily average 1 ratio during day,Phonelock duration during morning,Average duration of each long-time conversation(>10 mins),Daily average 0 ratio during day,Bluetooth class,Daily average 2 ratio during night,Audio daily average 0 ratio,The frequency of changing building,High strength of wifi level,Average duration of each conversation during day,Total counts of bluetooth mac address,Average accuracy,Daily average conversation duration,Daily average running ratio,Daily average 2 ratio during day,Light duration during morning,Daily frequency of conversation during day,Daily average running ratio during day,Negative
u00,24.379,0.0713,256.0,0.29,6.49,0.0175,0.1119,0.0956,0.0334,709.1906740924429,12.798,14.351,18.05,0.0236,0.476243785817322,629.6627247763307,0.0964,0.0777,0.1048,20277.727,66.812,0.006999999999999999,0.2386905524299493,0.1283,1660.8295348111144,0.5430861388473158,135.593,0.24086735807043946,0.5117101683475364,82,69.152,570.3818960400579,7.396,341.25,212186.94029850746,0.010959906791458177,0.21822330872273493,0.099,180.86567164179104,0.00922607631956992,1.0
u01,20.782,0.0115,431.0,0.05,4.12,0.0099,0.1898,0.1958,0.0246,688.4800732685393,18.073,36.454,14.452,0.0108,0.4682604206292981,616.2079933551571,0.1462,0.1409,0.139,7841.048000000002,63.768,0.0045,0.2610808805848191,0.1227,1633.090322580645,0.5160559079402038,218.133,0.2421723073662836,0.4935177641458229,71,67.475,563.5990351602952,15.47,46.5,188237.74626865672,0.011218246047610382,0.22286321147497687,0.139,164.32835820895522,0.009361102614811273,0.0
u02,17.567999999999998,0.049,263.0,0.03,2.39,0.0233,0.1745,0.0493,0.0165,675.213276368908,19.274,49.63399999999999,17.128,0.0088,0.4879241567494448,588.2452525845002,0.1881,0.0397,0.2388,15048.091,70.938,0.0084,0.25540455880338003,0.0384,1623.2769102063587,0.5368546997111154,447.23800000000006,0.22604245622862235,0.5140323284228828,84,63.597,535.6948877889239,19.773,74.16,119747.41791044775,0.010277733377334605,0.20774074148550456,0.0807,108.82089552238806,0.008518186551057804,0.0
u03,15.289,0.0289,151.0,0.03,2.42,0.0413,0.1022,0.0876,0.0259,672.4700673549742,26.032,60.207,20.489,0.0072,0.4841547247385918,590.2821420283129,0.0853,0.0645,0.0643,6821.45,78.689,0.0079,0.25107972542956164,0.046,1630.023102310231,0.5383660628131212,116.917,0.2287840399990861,0.5128288197213368,49,53.479,533.0276920998324,17.759,23.98,151852.28358208956,0.01093523888279474,0.21055421175731734,0.0166,136.71641791044777,0.009118810787887802,1.0
u04,20.532,0.0164,76.0,0.03,2.36,0.0039,0.2306,0.1454,0.1047,648.429493904868,12.302,39.365,18.744,0.0704,0.4938616031644879,532.3734240544327,0.2227,0.1472,0.2127,20384.95,67.738,0.0021,0.22827208748362185,0.1228,1439.0120192307693,0.5517361929129967,160.304,0.2373340007146265,0.5246271209237716,89,68.953,508.3132989599135,7.33,33.44,39705.522388059704,0.010843392426524724,0.21999171960338168,0.1177,37.18181818181818,0.009244275164996986,0.0
u05,28.686,0.0285,94.0,0.02,1.66,0.0241,0.1502,0.146,0.0367,652.8509091224888,13.309,37.747,17.984,0.0349,0.5237493787168265,545.5475113122171,0.1285,0.1102,0.1674,10706.8,53.01600000000001,0.0083,0.2271846413993609,0.0824,1523.3808172531217,0.5482035429338894,1320.356,0.22318200587139544,0.5354932499255532,71,68.707,511.73216487271935,65.36399999999999,37.56,57583.76119402985,0.010230856120198566,0.2246118156667498,0.0706,54.34848484848485,0.008828393074424724,1.0
u07,13.907,0.0262,112.0,0.06,3.17,0.0137,0.1688,0.1339,0.0264,675.8346505720258,16.038,69.763,18.903,0.0285,0.5120174035096375,552.60828892836,0.0988,0.0966,0.1607,30193.5,82.698,0.0157,0.22072023281806127,0.0799,1550.3304843304845,0.5377095723276225,199.152,0.2350537200567303,0.5241578222612915,93,65.06,494.8685000217679,20.916,41.48,69653.38805970151,0.010452164882764018,0.24157019485431624,0.0726,68.22727272727273,0.00901107772344706,0.0
u08,23.685,0.0372,66.0,0.01,0.84,0.0164,0.2017,0.0891,0.0666,660.7750184798443,10.003,56.374,23.719,0.0424,0.5132915800119219,612.8206765478013,0.1382,0.0596,0.2288,13321.522,56.20399999999999,0.0339,0.27709640381334943,0.0498,1679.2461087527795,0.5289409608140951,420.93,0.20358715221457105,0.5213096059497279,69,66.278,571.0001144241403,18.432,63.27,668944.0746268657,0.010117411603966722,0.19396263537255548,0.0493,623.3880597014926,0.008820514074934086,1.0
u09,19.679,0.0461,307.0,0.07,6.65,0.0199,0.2271,0.171,0.0534,656.5615959142364,10.82,59.46100000000001,15.825,0.0256,0.5012495143587498,613.4043506320943,0.1534,0.1473,0.1026,23139.3,65.402,0.0025,0.2774983763623388,0.1086,1670.9790398289724,0.5262298853383592,329.571,0.2098306387937582,0.5145805249884413,87,73.354,574.4058944661838,17.089000000000002,34.4,723478.3880597015,0.010357475134397848,0.1962717382993019,0.0907,670.9402985074628,0.008930414157637479,0.0
u10,24.241,0.0369,27.0,0.01,0.97,0.0743,0.1891,0.1696,0.0482,697.7801577801746,9.73,53.653,27.651,0.0304,0.5243150400922063,510.74513274336283,0.0007,0.1036,0.1836,10748.571000000002,69.938,0.0287,0.22208863655914765,0.1102,1644.2229437229435,0.5641943947693163,459.429,0.21622717320784146,0.5448072602226532,66,62.62,408.6358542932026,14.93,33.84,17228.119402985074,0.010761149416529095,0.21371696867153608,0.0983,16.833333333333332,0.009079058618021869,1.0
u12,18.52,0.0993,396.0,0.14,4.17,0.0195,0.2025,0.1252,0.0603,651.3008306539683,20.52,62.053,18.057,0.0358,0.5052621847962759,556.3448502796973,0.184,0.1338,0.173,25302.2,73.541,0.0202,0.22074965098066412,0.1609,1564.9767060367456,0.5341040681863697,152.295,0.2384135321492912,0.5190132966937624,78,61.423,505.00191536987916,11.358,181.58,100939.223880597,0.01042011571648314,0.24514628083296625,0.1563,96.34328358208955,0.008961392395200841,0.0
