,Frequency of wifi,FlourishingScale
u00,20277.727,1.0
u01,7841.048000000002,1.0
u02,15048.091,0.0
u03,6821.45,0.0
u04,20384.95,0.0
u05,10706.8,1.0
u07,30193.5,1.0
u08,13321.522,0.0
u09,23139.3,1.0
u10,10748.571000000002,0.0
u12,25302.2,1.0
u13,41297.455,0.0
u14,14767.619,1.0
u15,9134.1,1.0
u16,8722.955,0.0
u17,15728.25,0.0
u18,12406.048,0.0
u19,18625.0,0.0
u20,11013.55,0.0
u22,20380.1,1.0
u23,6278.2,0.0
u24,6052.75,0.0
u27,4968.25,0.0
u30,44151.05,1.0
u31,14463.174,0.0
u32,28294.55,1.0
u33,9193.429,0.0
u34,13402.75,0.0
u35,12160.7,1.0
u36,45790.05,1.0
u39,3650.4,0.0
u42,31540.6,0.0
u43,9712.095,0.0
u44,11217.524,0.0
u45,24780.05,1.0
u46,17613.476000000002,0.0
u47,7145.632,1.0
u49,22965.107000000004,1.0
u50,18210.25,1.0
u51,18445.087,0.0
u52,151418.545,0.0
u53,35303.8,1.0
u56,13101.2,1.0
u57,28505.286,1.0
u58,19030.5,1.0
u59,27778.15,1.0
