,Medium strength of bluetooth level,Phonecharge duration during morning,Gps times of gps provider,Average speed,Average bearing,Phonecharge duration during night,Phonelock duration during afternoon,Phonelock duration during night,Phonelock duration during evening,High strength of wifi level,Average duration of each conversation during night,Total counts of wifi-bssid address,Medium strength of wifi level,Light duration during evening,Daily average audio_0 ratio during night,Phonecharge duration during afternoon,Average duration of each conversation,Light duration during night,Light duration during afternoon,Low strength of bluetooth level,Frequency of wifi,Phonecharge duration during evening,Phonelock duration during morning,Daily average audio_1 ratio during day,Average duration of each long-time conversation(>10 mins),Daily average audio_0 ratio during day,The frequency of changing building,Bluetooth class,Daily average audio_0 ratio,Low strength of wifi level,Total counts of bluetooth mac address,Daily average audio_2 ratio during night,Average accuracy,Negative
u00,24.379,0.0713,256.0,0.29,6.49,0.0175,0.1119,0.0956,0.0334,12.798,709.1906740924429,14.351,18.05,0.0236,0.476243785817322,0.0964,629.6627247763307,0.0777,0.1048,66.812,20277.727,0.006999999999999999,0.1283,0.2386905524299493,1660.8295348111144,0.5430861388473158,82.0,135.593,0.5117101683475364,69.152,7.396,0.24086735807043946,341.25,1.0
u01,20.782,0.0115,431.0,0.05,4.12,0.0099,0.1898,0.1958,0.0246,18.073,688.4800732685393,36.454,14.452,0.0108,0.4682604206292981,0.1462,616.2079933551571,0.1409,0.139,63.768,7841.048000000002,0.0045,0.1227,0.2610808805848191,1633.090322580645,0.5160559079402038,71.0,218.133,0.4935177641458229,67.475,15.47,0.2421723073662836,46.5,0.0
u02,17.567999999999998,0.049,263.0,0.03,2.39,0.0233,0.1745,0.0493,0.0165,19.274,675.213276368908,49.63399999999999,17.128,0.0088,0.4879241567494448,0.1881,588.2452525845002,0.0397,0.2388,70.938,15048.091,0.0084,0.0384,0.25540455880338003,1623.2769102063587,0.5368546997111154,84.0,447.23800000000006,0.5140323284228828,63.597,19.773,0.22604245622862235,74.16,0.0
u03,15.289,0.0289,151.0,0.03,2.42,0.0413,0.1022,0.0876,0.0259,26.032,672.4700673549742,60.207,20.489,0.0072,0.4841547247385918,0.0853,590.2821420283129,0.0645,0.0643,78.689,6821.45,0.0079,0.046,0.25107972542956164,1630.023102310231,0.5383660628131212,49.0,116.917,0.5128288197213368,53.479,17.759,0.2287840399990861,23.98,1.0
u04,20.532,0.0164,76.0,0.03,2.36,0.0039,0.2306,0.1454,0.1047,12.302,648.429493904868,39.365,18.744,0.0704,0.4938616031644879,0.2227,532.3734240544327,0.1472,0.2127,67.738,20384.95,0.0021,0.1228,0.22827208748362185,1439.0120192307693,0.5517361929129967,89.0,160.304,0.5246271209237716,68.953,7.33,0.2373340007146265,33.44,0.0
u05,28.686,0.0285,94.0,0.02,1.66,0.0241,0.1502,0.146,0.0367,13.309,652.8509091224888,37.747,17.984,0.0349,0.5237493787168265,0.1285,545.5475113122171,0.1102,0.1674,53.01600000000001,10706.8,0.0083,0.0824,0.2271846413993609,1523.3808172531217,0.5482035429338894,71.0,1320.356,0.5354932499255532,68.707,65.36399999999999,0.22318200587139544,37.56,1.0
u07,13.907,0.0262,112.0,0.06,3.17,0.0137,0.1688,0.1339,0.0264,16.038,675.8346505720258,69.763,18.903,0.0285,0.5120174035096375,0.0988,552.60828892836,0.0966,0.1607,82.698,30193.5,0.0157,0.0799,0.22072023281806127,1550.3304843304845,0.5377095723276225,93.0,199.152,0.5241578222612915,65.06,20.916,0.2350537200567303,41.48,0.0
u08,23.685,0.0372,66.0,0.01,0.84,0.0164,0.2017,0.0891,0.0666,10.003,660.7750184798443,56.374,23.719,0.0424,0.5132915800119219,0.1382,612.8206765478013,0.0596,0.2288,56.20399999999999,13321.522,0.0339,0.0498,0.27709640381334943,1679.2461087527795,0.5289409608140951,69.0,420.93,0.5213096059497279,66.278,18.432,0.20358715221457105,63.27,1.0
u09,19.679,0.0461,307.0,0.07,6.65,0.0199,0.2271,0.171,0.0534,10.82,656.5615959142364,59.46100000000001,15.825,0.0256,0.5012495143587498,0.1534,613.4043506320943,0.1473,0.1026,65.402,23139.3,0.0025,0.1086,0.2774983763623388,1670.9790398289724,0.5262298853383592,87.0,329.571,0.5145805249884413,73.354,17.089000000000002,0.2098306387937582,34.4,0.0
u10,24.241,0.0369,27.0,0.01,0.97,0.0743,0.1891,0.1696,0.0482,9.73,697.7801577801746,53.653,27.651,0.0304,0.5243150400922063,0.0007,510.74513274336283,0.1036,0.1836,69.938,10748.571000000002,0.0287,0.1102,0.22208863655914765,1644.2229437229435,0.5641943947693163,66.0,459.429,0.5448072602226532,62.62,14.93,0.21622717320784146,33.84,1.0
u12,18.52,0.0993,396.0,0.14,4.17,0.0195,0.2025,0.1252,0.0603,20.52,651.3008306539683,62.053,18.057,0.0358,0.5052621847962759,0.184,556.3448502796973,0.1338,0.173,73.541,25302.2,0.0202,0.1609,0.22074965098066412,1564.9767060367456,0.5341040681863697,78.0,152.295,0.5190132966937624,61.423,11.358,0.2384135321492912,181.58,0.0
u13,18.266,0.0466,596.0,0.08,4.86,0.0581,0.1703,0.0868,0.0225,23.651,628.1610941755055,182.256,24.374,0.0078,0.5263342382306709,0.0278,527.8815637065637,0.0372,0.2095,68.707,41297.455,0.0167,0.0653,0.2247927181302284,1520.2778229082046,0.5455567657615639,79.0,3587.042,0.5350229594974601,51.975,319.44,0.22582288276471466,95.9,1.0
u14,19.822,0.029,111.0,0.01,1.15,0.0372,0.1746,0.1095,0.0248,21.348000000000006,724.1918478800916,44.474,17.754,0.0106,0.4687230496150628,0.1192,648.2303226070245,0.0569,0.1857,45.652,14767.619,0.002,0.1145,0.2488838205757041,1687.31196400956,0.5265907976902617,83.0,944.209,0.4989652817672818,60.897,49.756,0.24385369971078955,39.84,1.0
u15,29.614,0.0287,88.0,0.14,6.05,0.0178,0.0444,0.0684,0.0117,18.573,681.496641336327,29.117,16.641,0.0126,0.4665348787349344,0.0059,598.5955818022748,0.0448,0.0451,59.67100000000001,9134.1,0.0038,0.0292,0.25003058636186604,1628.227724781815,0.5277264197664974,77.0,150.361,0.4986064507097821,64.786,9.666,0.2432086669424353,35.85,1.0
u16,27.102,0.0431,95.0,0.02,1.63,0.059,0.1388,0.1576,0.0364,6.776,671.3652746336884,39.188,16.483,0.0223,0.494762159583731,0.0703,589.2235386017446,0.0915,0.0846,50.299,8722.955,0.013,0.1127,0.2567317016148322,1627.756622926467,0.5406665620115033,86.0,376.812,0.5193484790392979,76.741,23.972,0.2222606174953029,32.26,1.0
u17,21.694000000000006,0.0455,54.0,0.01,0.91,0.04,0.1695,0.1826,0.0656,23.332,672.7778913209997,74.807,32.01,0.0406,0.4731874550844149,0.0821,592.2906671440505,0.1856,0.1583,69.418,15728.25,0.018000000000000002,0.1015,0.2577224047594188,1629.636466080685,0.5252865101297769,74.0,246.439,0.5007104866027378,44.659,15.425999999999998,0.2348624962171103,36.79,1.0
u18,23.987,0.0433,287.0,0.08,4.0,0.0474,0.1174,0.1124,0.0453,11.511,655.7300616729261,47.672,20.07,0.0055,0.5001225153587046,0.0603,602.2296169890028,0.0916,0.0937,69.14,12406.048,0.0054,0.0756,0.26929816593780764,1671.239678005713,0.5270868833104204,69.0,752.5,0.5142848499425465,68.419,49.525,0.21703108230447232,48.61,1.0
u19,24.902,0.0649,147.0,0.06,4.03,0.0591,0.2831,0.1085,0.0466,14.632,652.4699348970134,67.311,20.29,0.0196,0.5043223231618087,0.012,599.7019293225427,0.0908,0.2656,58.456,18625.0,0.0179,0.0608,0.2682014244828512,1670.0285752259435,0.5315183938041099,64.0,478.366,0.5186285629840867,65.078,26.291,0.21277329954311325,31.29,0.0
u20,10.919,0.034,273.0,0.02,2.4,0.0186,0.0805,0.0766,0.0137,16.362000000000002,657.9642451539928,60.832,25.238000000000003,0.006,0.5114201674570186,0.0258,610.5626667728702,0.0788,0.0682,86.24600000000002,11013.55,0.0091,0.0671,0.2744359256080557,1674.333546451581,0.5325765449273587,63.0,231.829,0.5226205095229804,58.4,20.134,0.2051162551603907,26.51,0.0
u22,21.738000000000003,0.0379,202.0,0.03,2.04,0.0478,0.1992,0.1226,0.006999999999999999,22.529,662.0021465625098,73.34899999999998,27.161,0.0175,0.5200391758065747,0.0481,613.6974325549762,0.114,0.1546,70.55,20380.1,0.0014,0.1049,0.2738594487902848,1686.3009713835654,0.5333250023215993,75.0,159.933,0.5267389783981345,50.309,9.28,0.2024810673178296,32.44,0.0
u23,14.017,0.027000000000000003,812.0,0.13,16.18,0.1492,0.0526,0.07200000000000001,0.0513,20.429,669.5279893005768,46.471,23.578000000000007,0.0659,0.5206544311339939,0.0307,619.6928189717703,0.1415,0.0421,79.443,6278.2,0.0975,0.2083,0.27142253644811004,1692.5314518317505,0.536999058163709,60.0,327.37,0.5291811666261129,55.993,34.663000000000004,0.20240410460608213,26.41,1.0
u24,20.059,0.0281,26.0,0.03,1.3,0.006,0.0975,0.0562,0.0241,18.787,656.488718626066,29.404,15.635,0.0103,0.5046499370111533,0.0388,604.5837425078731,0.0339,0.0429,72.685,6052.75,0.0248,0.0637,0.26595576570609564,1675.7449459631275,0.5308010993910961,66.0,244.276,0.5182456993802333,65.578,21.864,0.2145997743258989,45.33,0.0
u27,22.079,0.0546,32.0,0.01,0.62,0.0412,0.1259,0.0697,0.0283,9.76,673.49749229308,30.285,24.155,0.0096,0.5037234240489553,0.0678,622.6083366043662,0.0839,0.122,62.74100000000001,4968.25,0.0008,0.0563,0.2593602674117169,1697.1215731700588,0.5388220053417861,56.0,353.545,0.5222941506510491,66.085,14.639,0.21632600614099184,28.32,1.0
u30,23.029,0.0186,52.0,0.06,1.66,0.0083,0.2236,0.1561,0.0528,10.813,667.4253488034416,32.454,20.145,0.0176,0.4969511036710981,0.1834,615.365446549723,0.1274,0.1777,67.155,44151.05,0.005,0.1146,0.26996181972146194,1683.2976254884281,0.5227938595737764,74.0,1234.772,0.5104170203330971,69.042,48.24,0.21953093974890486,45.7,1.0
